date,time,open,high,low,close,volume
2024-05-20,09:34,529.93,530.12,529.93,530.11,125949
2024-05-21,09:30,529.28,529.4,529.13,529.2,348720
2024-05-21,09:31,529.21,529.3631,529.07,529.11,187812
2024-05-21,09:32,529.17,529.5,529.16,529.43,130662
2024-05-21,09:33,529.42,529.49,529.3409,529.45,107372
2024-05-21,09:34,529.47,529.605,529.43,529.52,72804
2024-05-22,09:30,530.65,530.85,530.625,530.8,408762
2024-05-22,09:31,530.78,530.87,530.6819,530.7,80213
2024-05-22,09:32,530.71,530.89,530.68,530.8279,56446
2024-05-22,09:33,530.83,530.9304,530.82,530.91,66239
2024-05-22,09:34,530.89,530.92,530.83,530.89,60717
2024-05-23,09:30,532.96,533.07,532.53,532.53,1025496
2024-05-23,09:31,532.56,532.57,532.22,532.27,297031
2024-05-23,09:32,532.24,532.26,532.0,532.12,241073
2024-05-23,09:33,532.11,532.17,531.82,531.93,244742
2024-05-23,09:34,531.91,532.0,531.81,531.86,240284
2024-05-24,09:30,527.85,527.93,527.28,527.68,1101471
2024-05-24,09:31,527.67,527.84,527.58,527.78,199630
2024-05-24,09:32,527.78,527.815,527.58,527.71,126716
2024-05-24,09:33,527.7,527.73,527.4,527.63,153244
2024-05-24,09:34,527.635,527.98,527.52,527.935,188949
2024-05-28,09:30,530.27,530.405,530.1,530.19,481681
2024-05-28,09:31,530.19,530.49,530.19,530.4507,175865
2024-05-28,09:32,530.46,530.51,530.21,530.2499,101205
2024-05-28,09:33,530.26,530.29,530.1,530.24,157755
2024-05-28,09:34,530.25,530.465,530.22,530.36,166938
2024-05-29,09:30,525.68,525.99,525.6,525.98,498155
2024-05-29,09:31,525.98,526.02,525.79,525.79,189566
2024-05-29,09:32,525.79,525.85,525.63,525.78,155114
2024-05-29,09:33,525.79,525.815,525.544,525.55,170776
2024-05-29,09:34,525.56,525.67,525.46,525.615,195815
2024-05-30,09:30,524.52,524.52,524.21,524.44,381025
2024-05-30,09:31,524.43,524.71,524.42,524.68,178819
2024-05-30,09:32,524.67,524.8287,524.56,524.8,234170
2024-05-30,09:33,524.79,524.99,524.67,524.675,183989
2024-05-30,09:34,524.68,524.77,524.365,524.42,175660
2024-05-31,09:30,523.59,523.95,523.54,523.72,478522
2024-05-31,09:31,523.69,523.7,523.481,523.6628,176402
2024-05-31,09:32,523.65,523.695,523.41,523.49,112977
2024-05-31,09:33,523.47,523.66,523.36,523.4301,163306
2024-05-31,09:34,523.43,523.65,523.4,523.5311,101278
2024-06-03,09:30,529.02,529.16,528.7,528.7383,998324
2024-06-03,09:31,528.72,528.835,528.62,528.73,340574
2024-06-03,09:32,528.73,528.895,528.65,528.77,189044
2024-06-03,09:33,528.79,528.81,528.68,528.79,153404
2024-06-03,09:34,528.79,528.8,528.67,528.75,149258
2024-06-04,09:30,526.46,526.78,526.46,526.51,309576
2024-06-04,09:31,526.5,526.5325,526.28,526.35,136598
2024-06-04,09:32,526.355,526.42,526.22,526.42,112912
