date,spy_open,previous_close,gap_pct,first_1m_return,net_movement,opening_range_high,opening_range_low,opening_range_width,breakout_direction,volatility,volume,rvol_10d,vix_at_open,entry_price,outcome_label,label,max_gain_reached,max_drawdown_reached
2024-11-22,593.66,593.68,-0.0034,0.064,0.1432,594.51,593.57,0.94,UP,0.518,1217519,1.0747,16.47,594.51,FAIL_FAKEOUT,PASS,0.2727,-0.2283
2024-11-25,599.52,595.8397,0.6177,-0.0867,0.0917,600.15,598.8,1.35,UP,0.4637,2095657,1.8562,14.86,600.07,FAIL_FAKEOUT,PASS,0.1317,-0.42
2024-11-26,598.8,597.37,0.2394,0.0217,0.0835,599.41,598.6,0.81,UP,0.352,1597284,1.3251,14.44,599.3,FAIL_FAKEOUT,PASS,0.0517,-0.2052
2024-11-27,600.46,600.96,-0.0832,-0.0616,0.0283,600.85,599.94,0.91,UP,0.384,956359,0.7542,14.14,600.63,FAIL_FAKEOUT,PASS,0.0365,-0.2331
2024-11-29,599.66,598.82,0.1403,-0.0334,0.0434,600.1,599.3805,0.7195,UP,0.3209,827919,0.6501,14.09,599.92,TAKE,TAKE,0.3034,-0.0217
2024-12-02,602.97,602.78,0.0315,0.0779,0.0755,603.6799,602.82,0.8599,UP,0.3485,1679851,1.3204,13.86,603.425,PASS,PASS,0.0025,-0.1583
2024-12-03,603.39,603.8,-0.0679,-0.0133,0.0249,603.72,603.16,0.56,UP,0.264,784653,0.6202,13.49,603.54,PASS,PASS,0.0133,-0.1823
2024-12-04,605.63,603.92,0.2832,0.0066,0.0248,606.05,605.51,0.54,UP,0.247,1242381,0.9889,12.96,605.78,PASS,PASS,0.071,-0.137
2024-12-05,607.66,607.37,0.0477,0.0247,0.0156,607.85,607.58,0.27,UP,0.1688,704611,0.5513,13.51,607.755,PASS,PASS,0.0732,-0.1184
2024-12-06,607.44,606.41,0.1699,0.0379,0.1219,608.3,607.34,0.96,UP,0.269,1092107,0.8921,13.07,608.1802,PASS,PASS,0.1463,-0.0379
2024-12-09,607.69,607.94,-0.0411,-0.0569,-0.0457,607.86,607.28,0.58,DOWN,0.34,894833,0.7336,13.43,607.4125,FAIL_FAKEOUT,PASS,0.0284,-0.2029
2024-12-10,605.37,604.55,0.1356,-0.0909,-0.1701,605.4,604.315,1.085,DOWN,0.2997,698198,0.5879,14.17,604.34,PASS,PASS,0.1936,-0.011
2024-12-11,605.78,602.92,0.4744,-0.0462,0.0314,606.03,605.5,0.53,UP,0.23,876598,0.8366,13.63,605.97,PASS,PASS,0.2112,-0.0248
2024-12-12,606.58,607.24,-0.1087,-0.0066,-0.0956,606.64,605.9,0.74,DOWN,0.2572,804335,0.8243,13.64,606.0,PASS,PASS,0.1089,-0.1436
2024-12-13,606.4,604.32,0.3442,-0.0115,0.0049,606.5,606.01,0.49,UP,0.282,935853,0.9743,13.43,606.43,FAIL_FAKEOUT,PASS,0.1154,-0.249
2024-12-16,606.0,604.08,0.3178,0.0008,-0.0182,606.4,605.777,0.623,DOWN,0.3436,1159787,1.194,14.2,605.89,PASS,PASS,0.1299,-0.1122
2024-12-17,604.19,606.8399,-0.4367,-0.053,-0.0248,604.29,603.6004,0.6896,DOWN,0.3709,1249314,1.3589,15.22,604.04,PASS,PASS,0.1358,-0.1457
2024-12-18,603.98,603.88,0.0166,0.005,-0.0331,604.15,603.67,0.48,DOWN,0.2972,801040,0.8294,15.66,603.78,PASS,PASS,0.2749,-0.0513
2024-12-19,591.36,586.27,0.8682,0.0287,0.2367,592.87,590.6,2.27,UP,0.696,2501533,2.7141,20.89,592.76,FAIL_FAKEOUT,PASS,0.0405,-0.6934
2024-12-20,581.77,586.38,-0.7862,-0.0653,0.0945,582.6,581.15,1.45,UP,0.777,3773021,3.4258,23.35,582.32,TAKE,TAKE,0.9565,-0.2421
2024-12-23,590.89,591.97,-0.1824,0.1405,0.0575,591.77,590.71,1.06,UP,0.572,1214252,0.8867,18.4,591.23,FAIL_FAKEOUT,PASS,0.0677,-0.6037
2024-12-24,596.06,595.11,0.1596,-0.0688,0.0117,596.21,595.47,0.74,UP,0.376,850954,0.6072,16.92,596.13,TAKE,TAKE,0.3774,-0.0562
2024-12-26,599.5,601.3,-0.2994,0.0634,0.0684,600.1763,599.41,0.7663,UP,0.4233,924172,0.6524,15.14,599.91,FAIL_FAKEOUT,PASS,0.0817,-0.3046
2024-12-27,597.54,601.24,-0.6154,0.005,-0.0787,597.7761,597.02,0.7561,DOWN,0.4372,1245437,0.8762,15.95,597.07,FAIL_FAKEOUT,PASS,0.0938,-0.7302
2024-12-30,587.89,595.12,-1.2149,-0.0816,-0.1514,588.01,586.48,1.53,DOWN,0.661,1356994,0.9259,18.33,587.0,FAIL_FAKEOUT,PASS,0.0511,-0.4412
2024-12-31,589.905,588.0,0.324,0.0568,0.0178,590.58,589.45,1.13,UP,0.658,1032772,0.685,16.94,590.01,FAIL_FAKEOUT,PASS,0.1068,-0.3118
2025-01-02,589.39,586.18,0.5476,0.0102,-0.2647,589.65,587.81,1.84,DOWN,0.8156,1864959,1.0,17.27,587.83,FAIL_FAKEOUT,PASS,0.5614,-0.2875
2025-01-03,587.53,584.96,0.4393,0.0391,0.0917,588.62,586.91,1.71,UP,0.508,1728922,0.9271,17.37,588.069,FAIL_FAKEOUT,PASS,0.251,-0.2787
2025-01-06,596.27,591.82,0.7519,0.0335,0.0956,597.21,595.9,1.31,UP,0.6702,1661046,0.9244,16.24,596.84,TAKE,TAKE,0.3619,-0.1206
2025-01-07,597.42,595.65,0.2972,0.0301,-0.0737,597.75,596.92,0.83,DOWN,0.358,775412,0.4427,15.8,596.98,FAIL_FAKEOUT,PASS,0.0544,-0.8292
2025-01-08,588.7,588.8,-0.017,-0.1223,-0.079,588.77,587.44,1.33,DOWN,0.6713,1083747,0.7189,18.85,588.235,FAIL_FAKEOUT,PASS,0.0842,-0.38
2025-01-10,585.88,589.93,-0.6865,-0.1434,-0.1195,585.95,584.1,1.85,DOWN,0.932,1622911,1.1406,18.95,585.18,FAIL_FAKEOUT,PASS,0.0547,-1.0305
2025-01-13,575.77,580.71,-0.8507,0.02,0.1181,576.48,575.5,0.98,UP,0.5195,1734113,1.1909,21.35,576.45,TAKE,TAKE,0.3764,-0.1908
2025-01-14,584.36,581.5,0.4918,-0.0941,-0.0685,584.56,583.3,1.26,DOWN,0.589,1423434,0.9516,18.75,583.96,FAIL_FAKEOUT,PASS,0.1781,-0.3408
2025-01-15,590.325,582.6,1.326,-0.05,0.0601,590.94,589.58,1.36,UP,0.642,2503782,1.684,16.93,590.68,FAIL_FAKEOUT,PASS,0.3877,-0.2514
